Estanque,Media_m3,Mediana_m3,Desv_Std_m3,Min_m3,Max_m3,Rango_m3,CV_%,Q1_m3,Q3_m3,IQR_m3
Vigia,14325.83584021723,14526.086956,2324.040618651765,0.0,19858.695652,19858.695652,16.222722670934388,12940.217391,15960.869566,3020.6521749999993
Lyon,12561.690506961675,12461.111112,3419.3372353085115,1805.5555556,20500.0,18694.4444444,27.220358863430988,9816.666666,15344.444444,5527.7777780000015
Rodriguez,7189.530415678937,6982.6973685,2186.1632710555973,1380.1973683500005,14407.6973685,13027.50000015,30.40759471978879,5408.8815795,8739.4736835,3330.5921040000003
Eduardo Aguirre 1,7565.933148011733,7360.1503764,1980.6498191339506,2907.5187972000003,12667.669176,9760.150378799999,26.17852656621014,5979.6992484,9108.2706768,3128.5714284000005
San Guillermo,6518.731196757658,6460.199005,1411.1828383035065,2589.552239,10243.78109,7654.228851,21.64812132467454,5460.199005,7501.243781,2041.0447759999997
