modelo,r2_con_leakage,r2_sin_leakage,diff_r2,mae_con_leakage,mae_sin_leakage,diff_mae,rmse_con_leakage,rmse_sin_leakage,diff_rmse
XGBoost,0.9904782002753824,0.9888193610275204,-0.0016588392478619207,269.13522933309173,307.37485910915115,38.23962977605942,425.164955271269,460.71383159335795,35.54887632208897
RandomForest,0.9841781554904581,0.9829095171535736,-0.0012686383368845089,294.94331562959934,335.53385342341625,40.59053779381691,548.0579663609647,569.6067211463558,21.54875478539111
LightGBM,0.9923098042467248,0.991467583010912,-0.0008422212358127901,260.9015521976356,284.3699179399888,23.46836574235317,382.09084872928867,402.4704271868478,20.37957845755915
