timestamp,demanda_real_m3,pred_xgboost_v3.0_(actual)_m3,pred_randomforest_m3,pred_lightgbm_m3
2025-06-26 20:00:00,10973.19073615602,12509.862820681084,12412.892542092908,12548.652299042633
2025-06-26 21:00:00,11721.356201501698,12411.708842624652,12223.91319183864,12662.470997695034
2025-06-26 22:00:00,10536.091400811994,11505.311577317714,11490.943330544309,11043.473850508444
2025-06-26 23:00:00,9021.97232328231,9219.410724409998,9121.16650490744,8863.277571798448
2025-06-27 00:00:00,8569.577365193796,9514.020814787644,8641.02024105592,9096.391299801517
2025-06-27 01:00:00,8183.580897610096,8535.840429684344,8461.032829512777,8801.058818310472
2025-06-27 02:00:00,7257.668205142298,7986.445018352704,7773.116854126224,7898.531895750145
2025-06-27 03:00:00,7411.876983358603,7373.980137598117,6841.366250126501,6627.098501654202
2025-06-27 04:00:00,6861.418387403406,7250.578703570767,6700.449105360941,6620.5061861188315
2025-06-27 05:00:00,8546.060880402896,7856.930976597071,7603.342542141555,6954.993761095366
2025-06-27 06:00:00,9272.920273434025,9908.147756531536,10657.11040080662,9609.133432220638
2025-06-27 07:00:00,11141.329151320268,10204.331261541309,10129.298272254691,10407.563840186547
2025-06-27 08:00:00,12043.916421824211,13593.581295887943,13573.89471867918,12580.24033286027
2025-06-27 09:00:00,14126.205264925,15395.014060737687,15531.227217208561,14294.376965286578
2025-06-27 10:00:00,22873.340323304998,16586.99700942512,15840.284169438874,16909.01791554886
2025-06-27 11:00:00,15643.752022164792,19090.65062626216,17873.129133090537,18230.609757671325
2025-06-27 12:00:00,10980.7475209136,18586.6105074338,18175.582008552745,18900.606710911008
2025-06-27 13:00:00,15351.526492908797,19011.90577717257,18433.64934580307,18648.04818780494
2025-06-27 16:00:00,13611.35672641221,13951.331981117046,13741.805870337801,13574.203810111278
2025-06-27 17:00:00,13215.61750491001,13197.159530986342,13259.315260583697,12974.233914030936
2025-06-27 18:00:00,12171.90154919372,12648.797280590783,13214.871860821459,12278.028963541867
2025-06-27 19:00:00,12673.270514943873,12635.47231611009,13084.25298042687,12425.957027324594
2025-06-27 20:00:00,23808.28278970009,14242.637408719958,15722.355550235912,13371.019312032833
2025-06-27 22:00:00,10320.203648169707,11613.206578509522,11107.631215560656,11105.51554172855
2025-06-27 23:00:00,9280.24769833938,9693.853319804726,9530.919521886884,9744.944172195286
2025-06-28 00:00:00,8960.49617927014,8792.371010355524,8553.172611840275,8718.08144952142
2025-06-28 01:00:00,8551.972532045082,8266.927324651275,8058.205566828593,8078.863977042719
2025-06-28 02:00:00,6891.127839807596,7988.058447681355,8029.770783735274,7717.174991926482
2025-06-28 03:00:00,7230.167979709198,7201.234955662413,6816.752523366047,7253.355555660686
2025-06-28 04:00:00,6907.646136215801,7077.034555697378,6500.569317157546,6378.495009913773
2025-06-28 05:00:00,6773.2079790178905,7390.253731378209,6809.234306959823,6730.132811907899
2025-06-28 06:00:00,8065.375506454602,7728.080746595872,7150.484617294758,7776.627300756585
2025-06-28 07:00:00,9967.276966819813,8214.371191184677,7558.248939206719,7992.882705679502
2025-06-28 08:00:00,7452.816770338995,10308.433810000024,10738.474679940593,9953.025115365483
2025-06-28 09:00:00,15205.499425596488,12000.019901695186,12079.095062417271,11675.868370498469
2025-06-28 10:00:00,12922.668822839994,14152.1192677753,14296.30766319249,13991.599830420155
2025-06-28 11:00:00,18304.86261703191,16004.049267037044,14400.802444935856,15000.089384094084
2025-06-28 12:00:00,18098.59925544231,17378.13700060539,18388.14063396387,17553.68461247637
2025-06-28 13:00:00,17831.0429048528,18299.20576189678,19029.92457615616,18441.230225368912
2025-06-28 14:00:00,17373.66160073961,17810.878637616956,17227.205033735154,16788.26070520457
2025-06-28 15:00:00,16270.192778044784,15591.420425583625,15954.576806121335,15379.351899454767
