timestamp,demanda_real_m3,pred_xgboost_v3.0_(actual)_m3,pred_randomforest_m3,pred_lightgbm_m3
2025-06-26 22:00:00,10440.691400811993,10099.300903320312,10331.512119149345,10387.007036798575
2025-06-26 23:00:00,8944.572323282311,8906.9841796875,8777.234250075986,8785.883352326613
2025-06-27 00:00:00,8475.977365193794,8296.851953124999,8160.764796800075,7756.647226521158
2025-06-27 01:00:00,8082.780897610097,7979.078417968751,7864.522462987145,7851.814570499265
2025-06-27 02:00:00,7149.668205142298,7140.4072265625,6877.834637405687,6934.581982078853
2025-06-27 03:00:00,7276.876983358603,7229.93515625,7150.205494644086,7384.324686703174
2025-06-27 04:00:00,6292.618387403407,6293.067675781251,6134.1899697822355,6403.086434518744
2025-06-27 05:00:00,8263.460880402898,8077.646728515625,8196.909853061503,8285.783359113288
2025-06-27 06:00:00,9199.120273434024,9304.627783203125,8969.954415494329,9202.90651934349
2025-06-27 07:00:00,11069.329151320268,11159.320690917968,10429.249676787036,10705.976531027085
2025-06-27 08:00:00,11961.11642182421,11995.531591796875,12350.947260684465,12159.93772705976
2025-06-27 09:00:00,14045.205264925,13786.5935546875,13963.762066544648,14192.730432273795
2025-06-27 10:00:00,22785.140323305,22966.483984375,22293.426616801175,22951.7324448195
2025-06-27 11:00:00,15560.952022164793,16002.62685546875,15570.425608934886,16037.313202173464
2025-06-27 12:00:00,10872.7475209136,11235.240795898437,11311.6530198068,10783.307227876228
2025-06-27 13:00:00,15277.726492908798,15154.718505859375,15252.080170978752,15239.113525641518
2025-06-27 16:00:00,13515.95672641221,13196.93837890625,13476.659820912013,12943.484780366456
2025-06-27 17:00:00,13114.81750491001,12586.683471679688,13281.290382550793,13034.149083200718
2025-06-27 18:00:00,12092.70154919372,12259.76528930664,12296.087092255577,12310.38179786375
2025-06-27 19:00:00,12601.270514943873,12576.754626464844,12797.281274234447,12744.519513059628
2025-06-27 20:00:00,23732.682789700088,24033.0451171875,23529.810619434815,24439.463895598798
2025-06-27 22:00:00,10224.803648169705,12343.806640625,11840.434870492347,11829.395795902827
2025-06-27 23:00:00,9202.847698339381,10362.222583007813,11031.258555512335,10332.793035696099
2025-06-28 00:00:00,8866.896179270138,8558.505761718749,8809.686540527602,9294.813916262156
2025-06-28 01:00:00,8451.172532045082,8435.047412109376,8198.993236339718,8018.351675042223
2025-06-28 02:00:00,6783.127839807596,7317.2109375,7770.8237641346905,6452.751001705478
2025-06-28 03:00:00,7095.167979709198,6959.14169921875,6660.6285857377225,6712.152322772382
2025-06-28 04:00:00,6338.846136215801,6296.124804687501,6287.378924182172,6204.351301132045
2025-06-28 05:00:00,6490.607979017892,6573.32958984375,6523.591721824003,6631.542214329897
2025-06-28 06:00:00,7991.575506454601,7769.4224609375,7810.403943066542,7847.418109889092
2025-06-28 07:00:00,9895.276966819813,9449.59736328125,8916.641570681799,10040.78097259615
2025-06-28 08:00:00,7370.016770338994,7627.75400390625,8236.032636363298,7850.223231383158
2025-06-28 09:00:00,15124.499425596488,14248.6306640625,13519.85376695776,14242.233182433043
2025-06-28 10:00:00,12834.468822839995,13880.50693359375,13989.630973650177,13031.43504393536
2025-06-28 11:00:00,18222.06261703191,18305.3587890625,18143.59554167368,17854.513701053
2025-06-28 12:00:00,17990.59925544231,17898.6271484375,17804.232226207885,18153.43578586197
2025-06-28 13:00:00,17757.2429048528,17738.017578125,17920.320394774546,17569.99965806087
2025-06-28 14:00:00,17244.06160073961,17105.46083984375,17210.474100265863,16985.383465416497
2025-06-28 15:00:00,16151.392778044785,15577.144287109375,16583.36385015923,16403.472174980416
2025-06-28 16:00:00,14976.726542481201,14741.4232421875,14732.92144441537,14783.025207156868
2025-06-28 17:00:00,14946.6426157643,14440.61181640625,14591.322734556874,14555.375562722116
2025-06-28 18:00:00,13981.966815302905,14349.651123046875,14015.677722174323,13625.881073305854
2025-06-28 19:00:00,7891.991423844189,8070.924853515626,8369.107359394553,8792.081514958867
2025-06-28 20:00:00,11509.1859346956,11274.328686523437,11484.963834606946,11320.85583381868
2025-06-28 21:00:00,11098.484136164881,10923.26455078125,10942.948731386545,10679.94939216515
2025-06-28 22:00:00,11417.363005409818,11079.671447753906,11060.934870073117,11339.61523028872
2025-06-28 23:00:00,11809.204356772407,10863.714709472657,10456.38078695499,11441.350396219015
2025-06-29 00:00:00,10812.734158741972,10025.106347656249,10144.56505392605,10675.603846799484
2025-06-29 01:00:00,5677.535672690723,6559.154589843751,7766.618153280042,6086.018256694261
2025-06-29 02:00:00,6101.219001641701,5757.05029296875,5820.147035824401,6330.996911683291
2025-06-29 03:00:00,7700.205465742305,7493.603125,7194.66422807368,7516.317701101554
2025-06-29 04:00:00,6324.591799412203,6218.970996093751,6221.414437076069,6530.962526287105
2025-06-29 05:00:00,6340.676739829592,6626.06884765625,6555.564300830105,6559.980210447834
2025-06-29 06:00:00,7106.666185276501,6960.0123046875,7150.754808337428,6992.763649478283
2025-06-29 07:00:00,7799.661374904779,7489.573437499999,8067.7107567124385,8062.966152601799
2025-06-29 08:00:00,8818.112318909238,8646.467626953125,8507.475342949354,9094.349562587799
2025-06-29 09:00:00,12384.353126496677,12113.265704345704,12142.723949530515,11781.019991016154
2025-06-29 10:00:00,15695.946368653711,15984.79892578125,15213.914075363358,15743.328188990712
2025-06-29 11:00:00,17095.707931567093,17321.8412109375,17246.17345943353,17265.479629161775
2025-06-29 12:00:00,18368.108660261507,18521.6271484375,18383.86827159611,18448.9613138204
2025-06-29 13:00:00,19394.33721786199,18955.576171875,19470.571104114133,19026.368160707498
2025-06-29 14:00:00,16526.904195057105,16513.16201171875,16693.47215789649,16778.850732178416
2025-06-29 15:00:00,16073.591076225493,15872.167724609375,16109.811124095919,16117.851976904185
2025-06-29 16:00:00,14601.492900089981,14395.66201171875,14430.676625216802,14575.39843373607
2025-06-29 17:00:00,13260.40874729742,13358.783203125,13345.111778320714,13290.242568024645
2025-06-29 18:00:00,12486.55635794763,12662.517333984375,12744.450010020479,12973.414940051238
2025-06-29 19:00:00,22377.997437214075,22575.68828125,23064.364210996624,23141.438825623107
2025-06-29 20:00:00,4701.665822446925,5542.376660156249,6401.766640214827,5434.087051709703
2025-06-29 21:00:00,12583.933555098973,12350.232629394532,12247.863902016225,12390.465857430632
2025-06-29 22:00:00,4511.482878895797,3967.7802734375,4140.79241947411,4075.911884859449
2025-06-29 23:00:00,8409.132207459104,7228.903613281251,7575.8013934100245,6995.956547287707
2025-06-30 00:00:00,7926.741414308104,7786.5074707031235,7752.618274066901,7562.34232266503
2025-06-30 01:00:00,7073.204255203022,6109.399218750001,5801.316777656109,6301.751627574212
2025-06-30 02:00:00,6424.878126934054,5668.03955078125,5683.652580232994,6333.625077149557
2025-06-30 03:00:00,7460.645283937911,7089.40830078125,7401.902924496559,6610.7405629628865
2025-06-30 04:00:00,6199.465545146133,6152.711230468751,5811.87486252249,5905.949899234244
2025-06-30 05:00:00,5988.4359393246705,6493.8740234375,6186.015528863982,6308.3407441732925
2025-06-30 06:00:00,8904.34909612651,8977.769873046875,8625.338803479292,9007.213861662964
2025-06-30 07:00:00,13553.659658200206,13400.086010742187,12428.705139164385,13502.93593723535
2025-06-30 08:00:00,11961.990615609602,12579.32041015625,12423.251666304672,12601.268265068857
2025-06-30 09:00:00,12343.301716492995,13145.779956054688,13267.80431226142,12970.609324116325
2025-06-30 10:00:00,16404.037053884276,16136.46201171875,16400.09526656864,16482.775488054496
2025-06-30 11:00:00,17130.519153366527,16839.4076171875,17162.383371537682,17679.053065109118
2025-06-30 12:00:00,18501.19184550286,18073.80830078125,18097.12643588363,18532.924571061118
2025-06-30 13:00:00,18127.907385448925,17837.62841796875,18185.118388425475,18207.298255914124
2025-06-30 14:00:00,18888.924128733903,18891.988671875,18435.81677996496,18232.224420195307
2025-06-30 15:00:00,16481.9547269061,17468.80908203125,16977.63429959149,17434.246247540777
2025-06-30 16:00:00,17087.387290651903,17870.430078125,17454.20398789884,17095.369470844824
2025-06-30 17:00:00,12843.3194030101,13277.33349609375,13166.203254085893,13145.273741870753
2025-06-30 18:00:00,11998.143208264519,12744.164367675781,12991.959543478371,12312.226115090654
2025-06-30 19:00:00,13502.08813717867,13428.432055664063,13554.549981351058,13519.16556045593
2025-06-30 20:00:00,14495.818089607284,14395.923779296874,14402.30335275779,14374.320877184427
2025-06-30 21:00:00,12195.439123215716,12500.604211425782,12482.174411090753,12624.516607078973
2025-06-30 22:00:00,10426.550044655101,10462.84619140625,10467.828809752558,10540.173513747117
2025-06-30 23:00:00,9363.791077802485,9491.10966796875,9164.77543654627,9741.452216553167
2025-07-01 00:00:00,7525.154398094215,8063.4715820312485,7864.712430421248,7711.683285676077
2025-07-01 01:00:00,7196.183797640395,6649.406054687501,6486.516496014553,6924.6129607424455
2025-07-01 02:00:00,6637.580214755886,6148.35400390625,5964.666076495519,6573.146362911237
2025-07-01 03:00:00,6563.694517150527,6366.04599609375,6286.876935680122,6387.1650106321595
2025-07-01 04:00:00,5578.936930165499,5523.554980468751,5674.778234220268,5466.410460479091
2025-07-01 05:00:00,6285.273232995096,6220.25341796875,6087.767529759913,5957.374398639213
2025-07-01 06:00:00,8093.316140665678,8159.80380859375,8170.774081541342,8033.692220225303
2025-07-01 07:00:00,8879.868479975918,9403.93671875,9027.293012868515,9072.663888719744
2025-07-01 08:00:00,11557.431958559295,11297.223181152343,11442.939862452882,11579.70510925903
2025-07-01 09:00:00,14614.411287345709,14281.633837890626,13529.642944998512,14317.958351175428
2025-07-01 10:00:00,14906.986487350607,14778.248876953125,14932.391083001388,14881.169796688224
2025-07-01 11:00:00,16858.896443546495,16953.40078125,16802.02968147584,16868.61961746829
2025-07-01 12:00:00,17485.238369366398,17513.29072265625,17434.338890351482,17486.07527214616
2025-07-01 13:00:00,16871.797904124003,17123.85400390625,16968.627144128503,16861.764683485937
2025-07-01 14:00:00,16778.7993696977,16470.81435546875,16795.238537911482,17258.882698420355
2025-07-01 15:00:00,15571.6404287364,15555.993408203125,15700.238619827038,15928.931211722964
2025-07-01 16:00:00,14598.532874813589,14275.278466796875,14404.003960636557,14422.340939521611
2025-07-01 17:00:00,13563.639280071104,13516.329345703125,13691.775550923954,13606.821392336042
2025-07-01 18:00:00,13157.455992293399,13541.044799804688,13345.64690438907,13755.733262858228
2025-07-01 19:00:00,14367.138631671889,14368.300341796876,14350.065676433273,14504.33109827071
2025-07-01 20:00:00,14575.301754440614,14565.444775390624,14622.412457420762,14616.929291424123
2025-07-01 21:00:00,12396.2335724003,12805.922631835938,12631.288640029601,12747.903142880123
2025-07-01 22:00:00,10837.289219539103,11073.130187988281,11136.688055290266,10976.49123637603
2025-07-01 23:00:00,10205.9667038066,10088.636157226563,9880.878400765403,9991.764879449742
2025-07-02 00:00:00,8621.765088468273,8066.5892578124985,8120.997560155407,8941.915437936837
2025-07-02 01:00:00,7028.832076026829,6883.868945312501,6984.762283766131,7116.323058767899
2025-07-02 02:00:00,8009.864303027891,7151.3984375,6856.535468016515,7256.135330025681
2025-07-02 03:00:00,3282.0023491076045,3052.1783203124996,3811.9016312638314,3459.968834227797
2025-07-02 04:00:00,5609.440397476315,5534.855273437501,5546.620543711542,5280.115120127038
2025-07-02 05:00:00,6355.299064995212,6433.08544921875,5876.861600771231,6327.821384883771
2025-07-02 06:00:00,9675.318742000969,9415.564306640625,9089.078227205267,9188.193893518695
2025-07-02 07:00:00,13779.811423376199,13611.568920898437,12631.6446848167,13194.30867504886
2025-07-02 08:00:00,15718.197750029509,15498.616064453125,14737.57970652596,15432.493165152397
2025-07-02 09:00:00,5007.142973983286,4772.747851562501,5064.447809583471,5970.279192470956
2025-07-02 10:00:00,18274.63389462421,17779.08212890625,17978.01396422114,17409.74825667721
2025-07-02 11:00:00,17799.587869507384,17652.34365234375,17858.506912150744,17695.709988746054
2025-07-02 12:00:00,17517.00396352792,17579.1271484375,17459.760729748414,17449.22643655666
2025-07-02 13:00:00,17653.00781314519,17697.3515625,17799.047747676716,17489.12533575349
2025-07-02 14:00:00,14984.830641334507,14947.3646484375,15171.229667043874,15379.143298910845
2025-07-02 15:00:00,14823.925987802097,14978.150146484375,14901.592978563556,15029.495088853117
2025-07-02 16:00:00,11767.020443864118,11902.086213684082,12052.805576376186,11822.403895029913
2025-07-02 17:00:00,12056.866498271382,11788.882633209229,12118.60665278979,11911.418479259168
2025-07-02 18:00:00,13299.499495585507,12894.356567382812,13148.07719033585,12976.867538718261
2025-07-02 19:00:00,13381.367964444002,13209.030078125,13222.96533094066,13155.132018766104
2025-07-02 20:00:00,11951.032683729496,12105.107006835937,11992.40816327035,12128.486598344114
2025-07-02 21:00:00,12790.194345337814,12681.86171875,12714.06058630285,12784.987329408297
2025-07-02 22:00:00,11410.508210208907,11260.582824707031,10830.207390428566,10815.334032086794
2025-07-02 23:00:00,10199.573052585973,10010.628588867188,10109.170773584323,9983.353647403515
2025-07-03 00:00:00,7225.172176471206,6805.5125976562485,7210.240706772804,7207.678836614472
2025-07-03 01:00:00,6827.558610985816,6424.366503906251,6282.189185417975,6725.367299911903
2025-07-03 02:00:00,6058.823858546486,5889.2568359375,5954.792665123349,6115.951529337503
2025-07-03 03:00:00,6844.215341634093,6734.90439453125,6719.297881381472,6771.133182868733
2025-07-03 04:00:00,4913.311710459504,4896.458300781251,4817.756204684233,4910.057627945451
2025-07-03 05:00:00,6215.144937299308,6456.26318359375,6417.552985059785,6310.418055863025
2025-07-03 06:00:00,8959.969234578084,8753.99326171875,8774.304656723692,8692.691717866348
2025-07-03 07:00:00,8976.251359037804,9263.77412109375,9300.557762619392,9387.12811911829
2025-07-03 09:00:00,12473.172703018998,12351.25047607422,12408.643380241285,12423.457991032823
2025-07-03 10:00:00,14257.735192949998,14197.442236328125,14458.452802061787,14638.855439206562
2025-07-03 11:00:00,13851.459665650002,12565.61287841797,11839.624668812652,13173.191596260116
2025-07-03 12:00:00,13312.295092245997,13415.667797851562,13548.529057218113,13768.770975272533
2025-07-03 13:00:00,13626.212792650003,13869.983276367188,13781.459440438384,13837.77780249013
2025-07-03 14:00:00,13274.174079073995,13328.071801757813,13665.300244241118,13162.955510747257
2025-07-03 15:00:00,13008.280792250003,13127.331298828125,13296.70870787774,13104.414300711345
2025-07-03 16:00:00,12461.392069,12418.697595214844,12582.522379336551,12695.535980373663
2025-07-03 17:00:00,12066.948350100003,11697.649887084961,11583.575191785088,11675.351940890647
2025-07-03 19:00:00,11648.901373484503,11418.967974853516,11406.381594759345,11708.871450463836
2025-07-03 20:00:00,13201.791539919705,12876.762280273437,12667.051875839954,13132.146896021355
2025-07-03 21:00:00,9743.8189990786,10475.298974609375,10398.657161115532,9821.003968638805
2025-07-03 22:00:00,11768.327104382202,11660.911422729492,11612.110152193025,11741.80983612577
2025-07-03 23:00:00,11269.964615894689,11197.244311523438,11303.000663852961,11074.090490017159
2025-07-04 00:00:00,9439.884269823,10095.182275390624,9160.360962045339,9956.265098850534
2025-07-04 01:00:00,8822.671008097004,8694.6775390625,8472.713739857305,9241.681364072852
