timestamp,valor_real,prediccion,ic_lower,ic_upper,dentro_ic,ancho_ic_m3,ancho_ic_pct
2025-06-29 16:00:00+00:00,-2789.89,-3002.32,-3937.68,-2066.96,153,1870.72,-62.31
2025-06-29 17:00:00+00:00,-1434.41,-2089.29,-3024.65,-1153.93,153,1870.72,-89.54
2025-06-29 18:00:00+00:00,-660.56,-1318.73,-2254.09,-383.37,153,1870.72,-141.86
2025-06-29 19:00:00+00:00,-10544.80,-11245.30,-12180.66,-10309.94,153,1870.72,-16.64
2025-06-29 20:00:00+00:00,7135.13,5904.58,4969.23,6839.94,153,1870.72,31.68
2025-06-29 21:00:00+00:00,-754.33,-891.20,-1826.55,44.16,153,1870.72,-209.91
2025-06-29 22:00:00+00:00,7296.52,7819.48,6884.12,8754.84,153,1870.72,23.92
2025-06-29 23:00:00+00:00,3415.07,4579.42,3644.06,5514.78,153,1870.72,40.85
2025-06-30 00:00:00+00:00,3875.86,4143.47,3208.11,5078.83,153,1870.72,45.15
2025-06-30 01:00:00+00:00,4724.00,5667.07,4731.71,6602.43,153,1870.72,33.01
2025-06-30 02:00:00+00:00,5365.12,6093.50,5158.14,7028.85,153,1870.72,30.70
2025-06-30 03:00:00+00:00,4298.75,4733.62,3798.26,5668.97,153,1870.72,39.52
2025-06-30 04:00:00+00:00,5021.73,5334.03,4398.67,6269.39,153,1870.72,35.07
2025-06-30 05:00:00+00:00,5531.56,5239.55,4304.19,6174.90,153,1870.72,35.70
2025-06-30 06:00:00+00:00,2864.05,2832.21,1896.86,3767.57,153,1870.72,66.05
2025-06-30 07:00:00+00:00,-1752.86,-1596.91,-2532.27,-661.55,153,1870.72,-117.15
2025-06-30 08:00:00+00:00,-211.59,-951.56,-1886.92,-16.20,153,1870.72,-196.60
2025-06-30 09:00:00+00:00,-582.10,-1476.97,-2412.33,-541.62,153,1870.72,-126.66
2025-06-30 10:00:00+00:00,-4635.64,-4366.69,-5302.05,-3431.33,153,1870.72,-42.84
2025-06-30 11:00:00+00:00,-5354.92,-5235.20,-6170.55,-4299.84,153,1870.72,-35.73
2025-06-30 12:00:00+00:00,-6736.39,-6532.40,-7467.75,-5597.04,153,1870.72,-28.64
2025-06-30 13:00:00+00:00,-6301.91,-6431.30,-7366.66,-5495.94,153,1870.72,-29.09
2025-06-30 14:00:00+00:00,-7095.32,-7260.39,-8195.75,-6325.03,153,1870.72,-25.77
2025-06-30 15:00:00+00:00,-4673.95,-5977.82,-6913.18,-5042.46,153,1870.72,-31.29
2025-06-30 16:00:00+00:00,-5275.79,-6438.76,-7374.12,-5503.40,153,1870.72,-29.05
2025-06-30 17:00:00+00:00,-1017.32,-2300.97,-3236.32,-1365.61,153,1870.72,-81.30
2025-06-30 18:00:00+00:00,-172.14,-1076.08,-2011.44,-140.72,153,1870.72,-173.85
2025-06-30 19:00:00+00:00,-1668.89,-2137.64,-3073.00,-1202.29,153,1870.72,-87.51
2025-06-30 20:00:00+00:00,-2659.02,-3153.93,-4089.28,-2218.57,153,1870.72,-59.31
2025-06-30 21:00:00+00:00,-365.84,-624.88,-1560.24,310.48,153,1870.72,-299.37
2025-06-30 22:00:00+00:00,1381.45,1380.18,444.82,2315.54,153,1870.72,135.54
2025-06-30 23:00:00+00:00,2460.41,2339.17,1403.81,3274.53,153,1870.72,79.97
2025-07-01 00:00:00+00:00,4277.45,3878.38,2943.02,4813.74,153,1870.72,48.23
2025-07-01 01:00:00+00:00,4601.02,5189.50,4254.14,6124.86,153,1870.72,36.05
2025-07-01 02:00:00+00:00,5152.42,5669.43,4734.07,6604.78,153,1870.72,33.00
2025-07-01 03:00:00+00:00,5195.71,5709.41,4774.05,6644.77,153,1870.72,32.77
2025-07-01 04:00:00+00:00,5642.26,5976.11,5040.76,6911.47,153,1870.72,31.30
2025-07-01 05:00:00+00:00,5234.73,5427.02,4491.66,6362.37,153,1870.72,34.47
2025-07-01 06:00:00+00:00,3675.08,3504.08,2568.72,4439.44,153,1870.72,53.39
2025-07-01 07:00:00+00:00,2920.93,2408.63,1473.27,3343.98,153,1870.72,77.67
2025-07-01 08:00:00+00:00,192.97,180.46,-754.90,1115.82,153,1870.72,1036.64
2025-07-01 09:00:00+00:00,-2853.21,-2644.27,-3579.63,-1708.91,153,1870.72,-70.75
2025-07-01 10:00:00+00:00,-3138.59,-3115.56,-4050.91,-2180.20,153,1870.72,-60.04
2025-07-01 11:00:00+00:00,-5083.30,-5279.56,-6214.91,-4344.20,153,1870.72,-35.43
2025-07-01 12:00:00+00:00,-5720.44,-5860.38,-6795.74,-4925.03,153,1870.72,-31.92
2025-07-01 13:00:00+00:00,-5045.80,-5467.24,-6402.60,-4531.88,153,1870.72,-34.22
2025-07-01 14:00:00+00:00,-4985.20,-4762.77,-5698.13,-3827.42,153,1870.72,-39.28
2025-07-01 15:00:00+00:00,-3763.64,-3884.98,-4820.33,-2949.62,153,1870.72,-48.15
2025-07-01 16:00:00+00:00,-2786.93,-2892.39,-3827.75,-1957.04,153,1870.72,-64.68
2025-07-01 17:00:00+00:00,-1737.64,-1952.08,-2887.44,-1016.73,153,1870.72,-95.83
2025-07-01 18:00:00+00:00,-1331.46,-1795.45,-2730.81,-860.09,153,1870.72,-104.19
2025-07-01 19:00:00+00:00,-2533.94,-2565.23,-3500.59,-1629.87,153,1870.72,-72.93
2025-07-01 20:00:00+00:00,-2738.50,-2957.05,-3892.41,-2021.69,153,1870.72,-63.26
2025-07-01 21:00:00+00:00,-566.63,-1047.21,-1982.57,-111.85,153,1870.72,-178.64
2025-07-01 22:00:00+00:00,970.71,220.78,-714.58,1156.14,153,1870.72,847.31
2025-07-01 23:00:00+00:00,1618.23,1781.19,845.83,2716.55,153,1870.72,105.03
2025-07-02 00:00:00+00:00,3180.83,3648.81,2713.46,4584.17,153,1870.72,51.27
2025-07-02 01:00:00+00:00,4768.37,4991.60,4056.24,5926.96,153,1870.72,37.48
2025-07-02 02:00:00+00:00,3780.14,4692.36,3757.00,5627.72,153,1870.72,39.87
2025-07-02 03:00:00+00:00,8477.40,8876.64,7941.29,9812.00,153,1870.72,21.07
2025-07-02 04:00:00+00:00,5611.76,5876.70,4941.34,6812.06,153,1870.72,31.83
2025-07-02 05:00:00+00:00,5164.70,5327.85,4392.49,6263.21,153,1870.72,35.11
2025-07-02 06:00:00+00:00,2093.08,2193.26,1257.90,3128.62,153,1870.72,85.29
2025-07-02 07:00:00+00:00,-1979.01,-1973.74,-2909.10,-1038.38,153,1870.72,-94.78
2025-07-02 08:00:00+00:00,-3967.80,-3826.09,-4761.45,-2890.73,153,1870.72,-48.89
2025-07-02 09:00:00+00:00,6754.06,6744.21,5808.85,7679.57,153,1870.72,27.74
2025-07-02 10:00:00+00:00,-6506.23,-5984.57,-6919.93,-5049.21,153,1870.72,-31.26
2025-07-02 11:00:00+00:00,-6023.99,-5937.09,-6872.45,-5001.74,153,1870.72,-31.51
2025-07-02 12:00:00+00:00,-5752.20,-5911.13,-6846.48,-4975.77,153,1870.72,-31.65
2025-07-02 13:00:00+00:00,-5827.01,-6475.41,-7410.77,-5540.05,153,1870.72,-28.89
2025-07-02 14:00:00+00:00,-3191.23,-3253.91,-4189.27,-2318.55,153,1870.72,-57.49
2025-07-02 15:00:00+00:00,-3015.93,-3264.11,-4199.46,-2328.75,153,1870.72,-57.31
2025-07-02 16:00:00+00:00,44.58,-389.42,-1324.78,545.94,153,1870.72,-480.38
2025-07-02 17:00:00+00:00,-230.87,-17.81,-953.17,917.55,153,1870.72,-10503.95
2025-07-02 18:00:00+00:00,-1473.50,-1128.72,-2064.08,-193.37,153,1870.72,-165.74
2025-07-02 19:00:00+00:00,-1548.17,-1452.95,-2388.30,-517.59,153,1870.72,-128.75
2025-07-02 20:00:00+00:00,-114.23,-758.74,-1694.09,176.62,153,1870.72,-246.56
2025-07-02 21:00:00+00:00,-960.59,-1179.89,-2115.24,-244.53,153,1870.72,-158.55
2025-07-02 22:00:00+00:00,397.49,320.64,-614.72,1256.00,153,1870.72,583.43
2025-07-02 23:00:00+00:00,1624.63,1703.79,768.43,2639.15,153,1870.72,109.80
2025-07-03 00:00:00+00:00,4577.43,5047.65,4112.30,5983.01,153,1870.72,37.06
2025-07-03 01:00:00+00:00,4969.64,5335.99,4400.63,6271.35,153,1870.72,35.06
2025-07-03 02:00:00+00:00,5731.18,6062.13,5126.77,6997.49,153,1870.72,30.86
2025-07-03 03:00:00+00:00,4915.18,5100.49,4165.13,6035.84,153,1870.72,36.68
2025-07-03 04:00:00+00:00,6307.89,6537.49,5602.13,7472.84,153,1870.72,28.62
2025-07-03 05:00:00+00:00,5304.86,5136.08,4200.72,6071.43,153,1870.72,36.42
2025-07-03 06:00:00+00:00,2808.43,2909.29,1973.93,3844.65,153,1870.72,64.30
2025-07-03 07:00:00+00:00,2824.55,2572.98,1637.62,3508.34,153,1870.72,72.71
2025-07-03 09:00:00+00:00,-711.97,-755.23,-1690.59,180.13,153,1870.72,-247.70
2025-07-03 10:00:00+00:00,-2489.34,-2506.53,-3441.89,-1571.17,153,1870.72,-74.63
2025-07-03 11:00:00+00:00,-2075.86,-798.33,-1733.69,137.03,153,1870.72,-234.33
2025-07-03 12:00:00+00:00,-1547.50,-1717.73,-2653.09,-782.37,153,1870.72,-108.91
2025-07-03 13:00:00+00:00,-1800.21,-2130.09,-3065.45,-1194.74,153,1870.72,-87.82
2025-07-03 14:00:00+00:00,-1480.57,-1620.66,-2556.02,-685.30,153,1870.72,-115.43
2025-07-03 15:00:00+00:00,-1200.28,-997.82,-1933.18,-62.46,153,1870.72,-187.48
2025-07-03 16:00:00+00:00,-649.79,-663.35,-1598.71,272.01,153,1870.72,-282.01
2025-07-03 17:00:00+00:00,-240.95,-36.50,-971.86,898.85,153,1870.72,-5124.65
2025-07-03 19:00:00+00:00,184.30,349.30,-586.06,1284.66,153,1870.72,535.56
2025-07-03 20:00:00+00:00,-1364.99,-1351.08,-2286.44,-415.73,153,1870.72,-138.46
2025-07-03 21:00:00+00:00,2085.78,1329.13,393.77,2264.49,153,1870.72,140.75
