,count,mean,std,min,25%,50%,75%,max,CV_%,Skew,Kurt
temp,15333.0,13.734031174590752,4.634716280372441,1.9,10.5,13.0,16.3,32.5,33.7462193106646,0.7124808206654107,0.5208598904313977
HR,15328.0,75.72113778705638,19.075704569392595,10.0,63.0,78.5,92.3,100.0,25.192046932835915,-0.6077831296277978,-0.48593205849744336
mmhr,15286.0,0.06507915739892713,0.6250343401343755,0.0,0.0,0.0,0.0,21.7,960.4216850918842,15.638278401980836,321.09014823614365
