fecha,n_outliers,horas,horas_consecutivas_max,tipo_evento,tipo_error_principal,tipos_error_dict
2024-10-07,1,[np.int32(9)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-10-08,2,"[np.int32(3), np.int32(23)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-10-09,1,[np.int32(4)],0,Aislado,Delta Volumen Extremo,{'Delta Volumen Extremo': 1}
2024-10-14,1,[np.int32(1)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-10-16,1,[np.int32(1)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-10-19,2,"[np.int32(7), np.int32(8)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-10-20,1,[np.int32(2)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-10-21,1,[np.int32(12)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-10-22,1,[np.int32(5)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-10-29,1,[np.int32(6)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-10-30,1,[np.int32(6)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-11-06,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-11-09,1,[np.int32(13)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-11-13,1,[np.int32(16)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-11-24,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-11-26,1,[np.int32(17)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-11-28,2,"[np.int32(10), np.int32(11)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-11-29,2,"[np.int32(12), np.int32(13)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-12-05,3,"[np.int32(6), np.int32(12), np.int32(14)]",0,Discontinuo,Demanda Negativa,"{'Demanda Negativa': 2, 'Demanda Extrema Alta (>30k)': 1}"
2024-12-09,1,[np.int32(13)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-12-11,2,"[np.int32(12), np.int32(21)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
