date,temp_max,temp_min,precip_total,precip_prob_max,humidity_mean,humidity_min,humidity_max,precip_sum_h,temp_mean_h
2025-11-12,19.5,13.5,0.0,0,64.70833333333333,52,76,0.0,15.941666666666668
2025-11-13,18.4,13.0,0.0,0,72.875,58,89,0.0,15.320833333333333
2025-11-14,17.4,11.9,0.0,0,82.125,64,96,0.0,14.270833333333334
