,Volumen_Total_m3
Volumen_Total_m3,1.0
total_tanks_m3,1.0
mean_fill_ratio,0.8392628420777816
temp,0.5270390329328665
HR,0.4841749647996452
Qin,0.22352317842671335
feriado,0.05532728611738524
mmhr,0.038939767048640085
temporada_turistica_alta,0.03218337526031872
festival_vina,0.03138956857637322
