,Qin
Qin,1.0
temporada_turistica_alta,0.5907328001784081
temp,0.5021879095978306
mean_fill_ratio,0.32278881707960716
HR,0.31824779396219743
total_tanks_m3,0.22352317842671338
Volumen_Total_m3,0.22352317842671335
mmhr,0.16995122434875154
festival_vina,0.11446421696936274
feriado,0.09874386012864561
