timestamp_utc,Volumen_Total_m3,fecha_hora_local,anio,mes,dia,hora,dia_semana,es_fin_de_semana,hora_seno,hora_coseno,dia_semana_seno,dia_semana_coseno,feriado,nombre_feriado,feriado_movible,feriado_irrenunciable,fecha_feriado_oficial,fecha_feriado_observado,anio_nuevo,fiestas_patrias,elecciones,festival_vina,vacaciones_escolares,inicio_clases,temporada_turistica_alta,elecciones_primarias_comunal,hour,day_of_week,day_of_month,month,quarter,year,week_of_year,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_weekend,is_morning,is_afternoon,is_evening,is_night,Volumen_Total_m3_lag_1h,Volumen_Total_m3_lag_2h,Volumen_Total_m3_lag_3h,Volumen_Total_m3_lag_24h,Volumen_Total_m3_lag_48h,Volumen_Total_m3_lag_168h,Volumen_Total_m3_rolling_mean_6h,Volumen_Total_m3_rolling_std_6h,Volumen_Total_m3_rolling_max_6h,Volumen_Total_m3_rolling_min_6h,Volumen_Total_m3_rolling_mean_24h,Volumen_Total_m3_rolling_std_24h,Volumen_Total_m3_rolling_max_24h,Volumen_Total_m3_rolling_min_24h,Volumen_Total_m3_rolling_mean_168h,Volumen_Total_m3_rolling_std_168h,Volumen_Total_m3_rolling_max_168h,Volumen_Total_m3_rolling_min_168h,Volumen_Total_m3_diff_1h,Volumen_Total_m3_diff_24h,Volumen_Total_m3_diff_168h,Volumen_Total_m3_pct_change_1h,Volumen_Total_m3_pct_change_24h,feriado_weekend,vacaciones_weekend,any_special_event,timestamp,Qin,delta_volumen_m3_hr,Demanda_m3_hr,temp,HR,mmhr,fecha,abs_demanda
2025-04-23 09:00:00+00:00,3411.79810405,2025-04-23 05:00:00-04:00,2025,4,23,9,Wednesday,0,0.8660254037844387,-0.4999999999999997,0.9749279121818238,-0.2225209339563143,0,,0,0,,,0,0,0,0,0,0,0,0,9,2,23,4,2,2025,17,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,142652.4651993519,143994.71723360234,142574.98316948372,139623.12268150022,136776.978946744,133044.4675874857,118183.1631311118,56318.79742999839,143994.71723360234,3411.79810405,115030.89234053828,28036.847998730893,143994.71723360234,3411.79810405,120388.90801147006,18532.846889399123,149982.59047415562,3411.79810405,-139240.6670953019,-136211.32457745023,-129632.6694834357,-0.9760831465528328,-0.9755642329255678,0,0,0,2025-04-23 09:00:00+00:00,11026.8,-139240.6670953019,150267.4670953019,13.2,97.1,0.0,2025-04-23,150267.4670953019
2025-04-11 10:00:00+00:00,3070.2577135,2025-04-11 06:00:00-04:00,2025,4,11,10,Friday,0,0.7071067811865477,-0.7071067811865475,-0.433883739117558,-0.900968867902419,0,,0,0,,,0,0,0,0,0,0,0,0,10,4,11,4,2,2025,15,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,129394.6639681452,132605.2255201069,134573.1249342685,119993.00273623972,130413.1413901961,136876.6941427557,111333.6206834783,53077.160905978366,135267.5526790104,3070.2577135,108340.50796959728,25997.740371878648,135267.5526790104,3070.2577135,115758.85070988472,16947.13257394087,143725.5511382821,3070.2577135,-126324.4062546452,-116922.74502273972,-133806.4364292557,-0.976272145857144,-0.9744130270641796,0,0,0,2025-04-11 10:00:00+00:00,11721.6,-126324.4062546452,138046.0062546452,12.3,70.0,0.0,2025-04-11,138046.0062546452
2025-04-14 12:00:00+00:00,2944.3915260000003,2025-04-14 08:00:00-04:00,2025,4,14,12,Monday,0,0.258819045102521,-0.9659258262890684,0.0,1.0,0,,0,0,,,0,0,0,0,0,0,0,0,12,0,14,4,2,2025,16,1.2246467991473532e-16,-1.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,118180.4200446976,125002.7376970766,129110.1544779961,118866.3197901809,116327.54945985528,107945.8416071752,106928.49563299584,51257.27288632819,134076.6558734486,2944.3915260000003,106173.14397255331,26833.096387746074,134076.6558734486,2944.3915260000003,110818.88650343443,26085.98548249647,141569.33387030018,2913.7660325,-115236.0285186976,-115921.9282641809,-105001.4500811752,-0.9750856231101024,-0.9752293876751856,0,0,0,2025-04-14 12:00:00+00:00,12592.8,-115236.0285186976,127828.8285186976,8.8,100.0,0.0,2025-04-14,127828.8285186976
2025-07-25 09:00:00+00:00,23056.934288771,2025-07-25 05:00:00-04:00,2025,7,25,9,Friday,0,0.8660254037844387,-0.4999999999999997,-0.433883739117558,-0.900968867902419,0,,0,0,,,0,0,0,0,0,0,0,0,9,4,25,7,3,2025,30,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0,136710.0311120827,137283.94428694368,132798.7284030422,132889.9137474463,136671.8608479969,129622.5102665312,115434.63020712248,45349.965750167175,137283.94428694368,23056.934288771,112488.55513833924,22718.567016643377,137283.94428694368,23056.934288771,116092.93225690268,16851.622175699096,144482.2586080439,23056.934288771,-113653.0968233117,-109832.97945867528,-106565.5759777602,-0.8313442393274887,-0.8264959797280771,0,0,0,2025-07-25 09:00:00+00:00,11678.4,-113653.0968233117,125331.4968233117,8.8,95.0,0.0,2025-07-25,125331.4968233117
2024-07-19 05:00:00+00:00,136286.1670122295,2024-07-19 01:00:00-04:00,2024,7,19,5,Friday,0,0.8660254037844385,0.5000000000000001,-0.433883739117558,-0.900968867902419,0,,0,0,,,0,0,0,0,0,0,0,0,5,4,19,7,3,2024,29,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,3384.06444356,3401.841761655,3401.54595921,132200.2317753115,132267.67046188962,140859.6998853223,43265.13750354512,62335.58173621447,136286.1670122295,3384.06444356,98792.55162397365,44816.646901101136,136286.1670122295,3384.06444356,115890.7698072642,22735.613960279454,149054.48965860228,3384.06444356,132902.1025686695,4085.935236918013,-4573.532873092801,39.27292307378694,0.0309071715083109,0,0,0,2024-07-19 05:00:00+00:00,10022.4,132902.1025686695,-122879.70256866953,8.9,89.4,0.0,2024-07-19,122879.70256866953
2025-04-23 10:00:00+00:00,134784.52299927166,2025-04-23 06:00:00-04:00,2025,4,23,10,Wednesday,0,0.7071067811865477,-0.7071067811865475,0.9749279121818238,-0.2225209339563143,0,,0,0,,,0,0,0,0,0,0,0,0,10,2,23,4,2,2025,17,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,3411.79810405,142652.4651993519,143994.71723360234,135096.395927209,133202.7140908762,40060.09445449701,118169.65005914826,56314.00363324933,143994.71723360234,3411.79810405,115017.89763520753,28027.214172710614,143994.71723360234,3411.79810405,120952.74389566516,17485.665218863276,149982.59047415562,3411.79810405,131372.72489522168,-311.8729279373365,94724.42854477464,38.505421742064605,-0.0023085214509006,0,0,0,2025-04-23 10:00:00+00:00,10854.0,131372.72489522168,-120518.72489522168,14.2,89.6,0.0,2025-04-23,120518.72489522168
2025-02-11 03:00:00+00:00,980.0533794,2025-02-11 00:00:00-03:00,2025,2,11,3,Tuesday,0,0.7071067811865476,0.7071067811865477,0.7818314824680299,0.6234898018587335,0,,0,0,,,0,0,0,0,0,0,1,0,3,1,11,2,1,2025,7,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,0,1,106420.07049339912,877.1451063,97059.2078894899,121556.5671891826,118079.1531580534,107253.0819349061,49481.531681543966,53482.99850374546,106420.07049339912,752.54772595,97425.95946346578,40809.29566363527,136648.93938753862,752.54772595,110305.75616090068,20433.605947337503,143942.4743002634,752.54772595,-105440.01711399911,-120576.5138097826,-106273.02855550611,-0.9907907091692748,-0.9919374707425334,0,0,0,2025-02-11 03:00:00+00:00,13456.8,-105440.01711399911,118896.81711399912,16.8,85.4,0.0,2025-02-11,118896.81711399912
2025-03-12 14:00:00+00:00,2946.57980965,2025-03-12 11:00:00-03:00,2025,3,12,14,Wednesday,0,-0.4999999999999997,-0.8660254037844387,0.9749279121818238,-0.2225209339563143,0,,0,0,,,0,0,0,0,0,0,1,0,14,2,12,3,1,2025,11,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,0,0,1,0,0,107391.8104006839,110923.78301830668,114680.6961778686,116354.97625658051,107258.7503637706,110082.6154387124,96525.57152537598,46211.45205338636,123540.2320236114,2946.57980965,108140.7771066109,24141.363039198222,127514.6561400032,2946.57980965,111456.67408504988,15990.208303702932,137944.88764840312,2946.57980965,-104445.2305910339,-113408.39644693052,-107136.0356290624,-0.9725623415914476,-0.9746759450738716,0,0,0,2025-03-12 14:00:00+00:00,12672.0,-104445.2305910339,117117.2305910339,17.6,66.0,0.0,2025-03-12,117117.2305910339
2024-04-19 13:00:00+00:00,10381.7296685541,2024-04-19 09:00:00-04:00,2024,4,19,13,Friday,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.900968867902419,0,,0,0,,,0,0,0,0,0,0,0,0,13,4,19,4,2,2024,16,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,114584.8670602282,119247.6409350356,124153.9490903893,114278.43715648798,111415.7856569937,117940.48731052708,105014.64192102628,46820.87745993489,132999.51224486617,10381.7296685541,111628.13122013402,24414.752508102545,135418.8668509292,10381.7296685541,109965.14808144026,17385.371912531442,135831.4309303804,10381.7296685541,-104203.1373916741,-103896.70748793388,-107558.75764197296,-0.9093970265454228,-0.9091540807970816,0,0,0,2024-04-19 13:00:00+00:00,11844.0,-104203.1373916741,116047.1373916741,16.0,68.0,0.0,2024-04-19,116047.1373916741
2024-04-25 23:00:00+00:00,3253.89142759,2024-04-25 19:00:00-04:00,2024,4,25,23,Thursday,0,-0.5000000000000003,0.8660254037844383,0.4338837391175582,-0.900968867902419,0,,0,0,,,0,0,0,0,0,0,0,0,23,3,25,4,2,2024,17,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,0,0,0,1,105271.8346520486,107055.8295402951,108459.9219890689,103081.29266542778,98369.0777140108,105402.3329832088,90243.63939162968,42637.008755625895,108730.0245888291,3253.89142759,115711.34062509028,26329.25149764084,138690.6824327069,3253.89142759,117404.21032619652,18596.703458631768,145656.5135400743,3253.89142759,-102017.9432244586,-99827.40123783778,-102148.4415556188,-0.9690905792765464,-0.9684337347402968,0,0,0,2024-04-25 23:00:00+00:00,11725.2,-102017.9432244586,113743.1432244586,15.1,64.8,0.0,2024-04-25,113743.1432244586
