fecha,temp_max,temp_min,temp_media,precip_total,lluvia_total,horas_precip,prob_precip,viento_max
2025-11-11,16.8,11.4,14.1,0.0,0.0,0.0,0,34.2
2025-11-12,19.5,13.5,15.9,0.0,0.0,0.0,0,24.5
2025-11-13,18.4,13.0,15.3,0.0,0.0,0.0,0,19.0
