feature,correlacion,correlacion_abs
cal_hour_cos,0.6171775529870323,0.6171775529870323
cal_hour_sin,0.38277156722874073,0.38277156722874073
cal_dow_cos,0.0099111385424968,0.0099111385424968
cal_vacaciones_escolares,-0.008518320452497317,0.008518320452497317
cal_dow_sin,0.006537801781134378,0.006537801781134378
cal_fiestas_patrias,0.005029538833588727,0.005029538833588727
cal_desde_ultimo_feriado_horas,0.004764882502111671,0.004764882502111671
cal_feriado_irrenunciable,0.00418633080576292,0.00418633080576292
cal_festival_vina,0.003989585803987099,0.003989585803987099
cal_doy_cos,0.0027591181421248298,0.0027591181421248298
cal_elecciones,0.0026875559763452094,0.0026875559763452094
cal_fotoperiodo_horas,0.00267871066992349,0.00267871066992349
cal_feriado,-0.0023581405280851853,0.0023581405280851853
cal_prox_feriado_horas,0.0013559618951506616,0.0013559618951506616
cal_inicio_clases,0.0013555899684397153,0.0013555899684397153
cal_feriado_movible,-0.0013397108531694288,0.0013397108531694288
cal_doy_sin,0.001027753028485097,0.001027753028485097
cal_anio_nuevo,0.000713071934803641,0.000713071934803641
cal_temporada_turistica_alta,-0.000597488626945348,0.000597488626945348
cal_es_fin_de_semana,-0.0005158010487919115,0.0005158010487919115
