feature,correlacion,correlacion_abs
clima_temp_delta_6h,-0.4870632385039031,0.4870632385039031
clima_temp_delta_3h,-0.44087555855753446,0.44087555855753446
clima_temp_delta_1h,-0.34024140978660516,0.34024140978660516
clima_temp_delta_12h,-0.20441948622689485,0.20441948622689485
clima_esat_kPa,-0.13398741617310772,0.13398741617310772
clima_temp_c,-0.12406222450882795,0.12406222450882795
clima_vpd_kPa,-0.12044351437035637,0.12044351437035637
clima_apparent_temp_c,-0.1185445399159729,0.1185445399159729
clima_HDH_instantaneo,0.10124279960296423,0.10124279960296423
clima_HR_pct,0.09087795746760208,0.09087795746760208
clima_CDH_instantaneo,-0.08289891628793376,0.08289891628793376
clima_delta_same_hour_vs_ayer,-0.06498132757382495,0.06498132757382495
clima_temp_delta_24h,-0.06498132757382495,0.06498132757382495
clima_lluvia_evento_activo,-0.054674410601820475,0.054674410601820475
clima_dewpoint_c,-0.032438354107913354,0.032438354107913354
clima_VPD_mean_win_24h,0.026592514401819044,0.026592514401819044
clima_lluvia_intensidad_max_win_12h,-0.02571874704698548,0.02571874704698548
clima_VPD_mean_win_48h,0.024675641721602564,0.024675641721602564
clima_API_lambda_0p9_win_24h,-0.022237426608956636,0.022237426608956636
clima_API_lambda_0p9_win_72h,-0.022039680898161728,0.022039680898161728
clima_lluvia_intensidad_max_win_6h,-0.01872326144894475,0.01872326144894475
clima_horas_desde_ultima_lluvia,0.017815418596737544,0.017815418596737544
clima_lluvia_intensidad_max_win_168h,-0.015387353989705014,0.015387353989705014
clima_HDH_win_24h,-0.014221501111543782,0.014221501111543782
clima_pct_horas_VPD_gt_1p5_win_48h,0.013998219650733926,0.013998219650733926
clima_pct_horas_VPD_gt_1p5_win_24h,0.013815644656555714,0.013815644656555714
clima_lluvia_intensidad_max_win_24h,-0.0122613649995012,0.0122613649995012
clima_lluvia_mmhr,-0.012157375893921182,0.012157375893921182
clima_CDH_win_24h,0.011985895558566407,0.011985895558566407
clima_CDH_win_48h,0.011679756833193463,0.011679756833193463
clima_HDH_win_48h,-0.011105873947919514,0.011105873947919514
clima_lluvia_intensidad_max_win_72h,-0.009603537595429597,0.009603537595429597
clima_amplitud_diurna_temp,-0.00959300724534313,0.00959300724534313
clima_lluvia_intensidad_max_win_48h,-0.009117231699769494,0.009117231699769494
