Estadística,Valor
N,15335.0
Media,0.3228339603102638
Mediana,-565.3293991849932
Desv_Std,7819.095507188269
Varianza,61138254.550531775
CV_%,2422017.6525646886
Min,-139240.6670953019
Q1,-3049.3612523967968
Q3,3733.7567112102406
Max,132902.1025686695
IQR,6783.117963607037
Rango,272142.7696639714
Skewness,-0.32227357032736237
Kurtosis,95.63207589683718
Shapiro_stat,0.6269632607653086
Shapiro_p,6.068958287764279e-74
KS_stat,0.14644473270864267
KS_p,1.6898999387603245e-287
