Estadística,Valor
N,15336.0
Media,114812.86365231972
Mediana,113982.08617763205
Desv_Std,16477.955138782323
Varianza,271523005.5557228
CV_%,14.3520112769606
Min,204.827931
Q1,103510.49265222652
Q3,127753.35570061549
Max,153879.7843378204
IQR,24242.863048388972
Rango,153674.9564068204
Skewness,-0.9988322751636131
Kurtosis,5.38937657411606
Shapiro_stat,0.9240127411607875
Shapiro_p,1.0585011943295516e-44
KS_stat,0.038345121504334376
KS_p,4.986110387943983e-20
