timestamp,Q_net_real,Q_net_pred,error,error_abs,error_pct
2025-06-26 22:00:00+00:00,1367.308599188007,1493.6088,-126.30016546043043,126.30016546043043,9.237136776250463
2025-06-26 23:00:00+00:00,2879.6276767176896,2922.7197,-43.09204984481039,43.09204984481039,1.4964451895367377
2025-06-27 00:00:00+00:00,3326.6226348062046,3597.8264,-271.2037812094204,271.2037812094204,8.152526179910986
2025-06-27 01:00:00+00:00,3714.419102389904,3937.9133,-223.49422768822114,223.49422768822114,6.016936202606274
2025-06-27 02:00:00+00:00,4640.331794857702,4802.338,-162.00609576729767,162.00609576729767,3.4912610332482843
2025-06-27 03:00:00+00:00,4482.523016641397,4648.171,-165.64788179610332,165.64788179610332,3.6954162015707324
2025-06-27 04:00:00+00:00,4928.581612596594,5123.716,-195.1342077159061,195.1342077159061,3.959236613170351
2025-06-27 05:00:00+00:00,3256.5391195971024,3531.757,-275.2179604810226,275.2179604810226,8.451240730529669
2025-06-27 06:00:00+00:00,2569.279726565976,2563.3088,5.970888675351034,5.970888675351034,0.2323954302683713
2025-06-27 07:00:00+00:00,731.4708486797317,523.7275,207.74337065238797,207.74337065238797,28.400772365345023
2025-06-27 08:00:00+00:00,-210.71642182421056,-325.27634,114.55991484571132,114.55991484571132,54.366866072394934
2025-06-27 09:00:00+00:00,-2284.005264924999,-2143.291,-140.7142492999992,140.7142492999992,6.160854857075818
2025-06-27 10:00:00+00:00,-11016.740323305,-11250.365,233.62491106999914,233.62491106999914,2.120635543853067
2025-06-27 11:00:00+00:00,-3785.352022164792,-4348.717,563.3647747102082,563.3647747102082,14.882757836298339
2025-06-27 12:00:00+00:00,892.0524790864001,363.36438,528.6880992035876,528.6880992035876,59.26647945029491
2025-06-27 13:00:00+00:00,-3451.726492908798,-3416.345,-35.38152220567281,35.38152220567281,1.0250384055156267
2025-06-27 16:00:00+00:00,-1704.3567264122105,-1810.3135,105.95675015028951,105.95675015028951,6.216817671341365
2025-06-27 17:00:00+00:00,-1288.81750491001,-1144.9224,-143.89514162876003,143.89514162876003,11.164896587807233
2025-06-27 18:00:00+00:00,-266.70154919372,-802.6709,535.96934924378,535.96934924378,200.96221820386805
2025-06-27 19:00:00+00:00,-768.0705149438727,-1132.5299,364.4593922826898,364.4593922826898,47.45129323305985
2025-06-27 20:00:00+00:00,-11895.882789700088,-12259.127,363.2441634249117,363.2441634249117,3.053528433715087
2025-06-27 22:00:00+00:00,1583.1963518302946,-782.087,2365.283326927951,2365.283326927951,149.3992406054691
2025-06-27 23:00:00+00:00,2621.35230166062,1102.7736,1518.5787420903075,1518.5787420903075,57.93111979371456
2025-06-28 00:00:00+00:00,2935.703820729861,3278.7246,-343.02078864513896,343.02078864513896,11.684448077594514
2025-06-28 01:00:00+00:00,3346.0274679549184,3421.7085,-75.6810281388316,75.6810281388316,2.261817300175591
2025-06-28 02:00:00+00:00,5006.872160192404,4646.7056,360.1665937861544,360.1665937861544,7.19344497448311
2025-06-28 03:00:00+00:00,4664.232020290801,4916.475,-252.2430773654487,252.2430773654487,5.408030223799246
2025-06-28 04:00:00+00:00,4882.353863784199,4953.169,-70.81508152830065,70.81508152830065,1.4504291066156667
2025-06-28 05:00:00+00:00,5029.392020982108,4908.628,120.76409129460808,120.76409129460808,2.4011667969168573
2025-06-28 06:00:00+00:00,3776.824493545399,3673.722,103.10256971727404,103.10256971727404,2.729874525371156
2025-06-28 07:00:00+00:00,1905.5230331801868,2048.5952,-143.07218166356324,143.07218166356324,7.508289281855891
2025-06-28 08:00:00+00:00,4380.383229661005,3948.7522,431.6310323953803,431.6310323953803,9.85372762530606
2025-06-28 09:00:00+00:00,-3363.299425596488,-2563.5303,-799.7691521589882,799.7691521589882,23.779302730893413
